Business Name,City,Niche,Has Website,Website URL,Phone,Status,Scrape Status
Shiv skin care clinic Dr karjagi siddalingappa hospital ballari,Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Kaya Ayurvedic Panchakarma Centre,Ballari,Tuition Centre,Y,https://www.healraton.com/listing/kaya-ayurvedic-panchakarma-centre-ballari/,8180305391,PHONE RECOVERED,DONE
DANI SKIN COSMETIC AND LASER CLINIC,Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Skin Care Clinic - Dr. Raghu T Y,Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Manikya Nature Cure Clinic,Ballari,Tuition Centre,Y,https://manikyanaturecureclinic.com/,8277159087,PHONE RECOVERED,DONE
Craze Beauty Parlour & Training Institute and SKIN CARE CLINIC,Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"Srujan aesthetic clinic(Shifted to Anantha vasudev hospital , anantpur road)",Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Dr VEERESH,Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
RELIEF POLY CLINIC,Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
RJR HERBAL HOSPITAL - BALLARI,Ballari,Tuition Centre,Y,https://www.rjrherbalhospitals.com/balleri.php,7826977711,PHONE RECOVERED,DONE
Dr Care & Cure Homeopathy,Ballari,Tuition Centre,Y,http://drcareandcurehomeo.in/,7795621117,PHONE RECOVERED,DONE
Sree Thirumala Hospital,Ballari,Tuition Centre,Y,https://thetelityellowpages.com/listing/sree-thirumala-hospital/,8392255774,PHONE RECOVERED,DONE
Prakash Clinic,Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Shiva Clinic,Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Lakshmi Nilayam. Infantry road beside Dr Danis skin clinic,Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Dermatology consultation,Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Caddesk Ballari,Ballari,Computer Training Institute,Y,https://caddeskindia.com/caddesk-ballari/,9483980208,PHONE RECOVERED,DONE
JOHN CSC ACADEMY,Ballari,Computer Training Institute,Y,http://www.johncscacademy.co.in/,9999999776,PHONE RECOVERED,DONE
Chetan Institute Of Business Solution,Ballari,Computer Training Institute,Y,http://www.seeglobal.in/listing/chetan-institute-of-business-solution/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Jetking Computer Institute in Bellary,Ballari,Computer Training Institute,Y,https://www.jetking.com/,7666830000,PHONE RECOVERED,DONE
Sri Sai Dental Specialities,Ballari,Dental Clinic,Y,http://www.srisaidentalbellary.com/,8050956789,PHONE RECOVERED,DONE
Narayan Dental studio,Ballari,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
IVY DENTAL CENTRE,Ballari,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Shiva Dental and Physiotherapy,Ballari,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Bapuji Dental care,Ballari,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Center,Ballari,Dental Clinic,Y,https://www.dhfind.com/listing/ballari-chest-centre-ballari/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Surabhi Dental Clinic,Ballari,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Bellary hizama centre,Ballari,Dental Clinic,Y,http://jklsenterprises.org/,8880065553,PHONE RECOVERED,DONE
Vijaya Dental clinic,Ballari,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
RCT Specialist Anugraha Dental Clinic,Ballari,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
GUPTA DENTAL CLINIC,Ballari,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
I Smile Dental Clinic,Ballari,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Indira nagar,Ballari,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Shiva Dental Clinic,Ballari,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Anugraha Dental Clinic,Ballari,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Arunodaya Dental Clinic Dr Naveen Kumar Kori,Ballari,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Sri G. G. K. Dant Chikitsalaya,Ballari,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
irish dental spa,Ballari,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Shifa Medical & General Store,Ballari,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Jeevan Dental Clinic Dr Anil Bommineni,Ballari,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Dr.Md Ismail.B,Ballari,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Galaxy Fitness Club Gym,Ballari,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Fitness Studio 313,Ballari,Gym,Y,http://seeglobal.in/index.php/en/ads/5ae1c4ee867e8/Fitness+Centres/Fitness+Studio+,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Fitness Drive Gym,Ballari,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Ballari Sports Complex || Cowl Bazar || Ballari,Ballari,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Saadhana Yoga And Prakrutika Chikitsa Kendra,Ballari,Gym,Y,http://www.sadhanayoga.in/about.html,9986254479,PHONE RECOVERED,DONE
Football Stadium,Ballari,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
GYM / FITNESS TRAINER,Ballari,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Naveen Kumar,Ballari,Gym,Y,https://www.instagram.com/naveen__angadi?igsh=OWFwdHpmdWtzOXB3,6829669985,PHONE RECOVERED,DONE
D G,Ballari,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Carpenter ballari,Ballari,Interior Designer,Y,https://balwantjaiswal.www.wap.com/,9999999776,PHONE RECOVERED,DONE
Dream and Design,Ballari,Interior Designer,Y,http://www.dreamanddesign.in/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Ballari p.o.p. interior designers,Ballari,Interior Designer,Y,https://os-interior-and-exterior.business.site/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
ROKVILLA DESIGN & BUILD CO.,Ballari,Interior Designer,Y,https://www.rokvilla.com/,7899232229,PHONE RECOVERED,DONE
Sleek Modular kitchen by asian paints,Ballari,Interior Designer,Y,http://www.sleekworld.com/,9999999999,PHONE RECOVERED,DONE
Nesthetix Designs,Ballari,Interior Designer,Y,https://nesthetixdesigns.com/,9606956044,PHONE RECOVERED,DONE
Narayana Junior College - Ballari,Ballari,JEE Coaching,Y,https://branches.narayanajuniorcolleges.com/narayana-junior-college/centre-in-ballari/centre-in-Gandhi-Nagar/narayana-junior-college-in-Gandhi-Nagar-ballari--1ZCVL2/home,9505365956,PHONE RECOVERED,DONE
Arjun Consultancy,Ballari,Real Estate Agent,Y,http://www.arjunconsultancy.co.in/,8105556789,PHONE RECOVERED,DONE
The Arjun Properties,Ballari,Real Estate Agent,Y,https://www.thearjunproperties.com/,6400050299,PHONE RECOVERED,DONE
Amruth Properties,Ballari,Real Estate Agent,Y,http://www.amruthproperties.com/,9577768666,PHONE RECOVERED,DONE
Skandhanshi Lemon leaf,Ballari,Real Estate Agent,Y,https://skandhanshi.com/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Aadhar Housing Finance Ltd,Ballari,Real Estate Agent,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Piramal Finance Limited,Ballari,Real Estate Agent,Y,https://www.piramalfinance.com/branch-locator/loans-in-bellary-karnataka-6100,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"VCare Hair & Skin Clinic - Ballari | Skin Treatment, Hair Treatment, Hair Transplant, Laser Hair Removal, Skin Whitening",Ballari,Skin Clinic,Y,https://hair-skin-clinic.vcaretrichology.com/vcare-trichology/clinic-in-ballari/clinic-in-Tekur-Compound/vcare-hair-and-skin-clinic-in-Tekur-Compound-ballari--3sScJc/home,7395823232,PHONE RECOVERED,DONE
Dr Afshan Skin & Hair Clinic,Ballari,Skin Clinic,Y,https://drafshan.in/,6361651114,PHONE RECOVERED,DONE
Dr Afshan - Skin & Hair Clinic (Expert Dermatologist | Skin Specialist | Hair Transplant Surgeon) - Dr.Gouhare Afshan,Ballari,Skin Clinic,Y,http://drafshan.in/,6361651114,PHONE RECOVERED,DONE
LAKSHYA DENTAL & BONNE BODY HAIR CLINIC,Ballari,Skin Clinic,Y,https://lakshmipriyahospitals.com/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
DANI SKIN COSMETIC AND LASER CLINIC,Ballari,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Craze Beauty Parlour & Training Institute and SKIN CARE CLINIC,Ballari,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Shiva Clinic,Ballari,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Dermatology consultation,Ballari,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Sudarshan Cars - Car Rental in Belagavi,Belagavi,Car Rental,Y,https://sudarshancars.com/,7407087663,PHONE RECOVERED,DONE
JB Travels Belgaum,Belagavi,Car Rental,Y,https://jbtravelsbelgaum.in/,9740309999,PHONE RECOVERED,DONE
Belgaum Bike Rental,Belagavi,Car Rental,Y,http://www.moveonwheels.in/,9743629326,PHONE RECOVERED,DONE
SCOOTALS,Belagavi,Car Rental,Y,https://scootals.web.app/,7204626849,PHONE RECOVERED,DONE
"Physics Wallah Vidyapeeth Pathshala Coaching Center Belagavi | IIT JEE, NEET & Foundation Classes",Belagavi,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
NARAYANA IIT-JEE/NEET/FOUNDATION - BELGAUM,Belagavi,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"Sri Chaitanya Academy - Best IIT JEE & NEET Coaching in Belagavi, Tilakwadi",Belagavi,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Sanmargaha Classes,Belagavi,Tuition Centre,Y,https://sanmargahaclasses.in/,9999999776,PHONE RECOVERED,DONE
Eminant Coaching Classes Belagavi,Belagavi,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Disha Computer Institute Belgaum,Belagavi,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
DroneVerse Training Centre | Belagavi,Belagavi,Tuition Centre,Y,https://droneverse.in/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
PORWAL TUTORS,Belagavi,Tuition Centre,Y,https://www.instagram.com/porwal_tutors?igsh=dG01cXdsdWF2a3Jz,6352947622,PHONE RECOVERED,DONE
Edify sports cricket academy,Belagavi,Tuition Centre,Y,https://cricketatedify.blogspot.com/?m=1,8683803076,PHONE RECOVERED,DONE
Disha Computer Institute Belgaum,Belagavi,Computer Training Institute,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
NICE COMPUTER PEERANWADI ( NICE-NAMITA INSTITUTE OF CAREER EDUCATION),Belagavi,Computer Training Institute,Y,https://www.nicedigitalschool.com/,9999999776,PHONE RECOVERED,DONE
Tech Stack,Belagavi,Computer Training Institute,Y,https://tech-stack.my.canva.site/it-training-institute,8277795844,PHONE RECOVERED,DONE
Tally Central by MV Solutions,Belagavi,Computer Training Institute,Y,http://www.mv-solutions.in/,9342842463,PHONE RECOVERED,DONE
Securenest cybersecurity institution,Belagavi,Computer Training Institute,Y,http://securenest.co.in/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Smile N' Face Dental And Implant Center,Belagavi,Dental Clinic,Y,https://smilenfacedental.com/,6400050299,PHONE RECOVERED,DONE
Iconic Fitclub,Belagavi,Gym,Y,https://iconicfit.club/,8497865546,PHONE RECOVERED,DONE
24 Fitness Gym,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
I Like Fitness,Belagavi,Gym,Y,http://www.ilikefitness.in/,8296093966,PHONE RECOVERED,DONE
BODY POWER FITNESS CLUB GYM,Belagavi,Gym,Y,https://www.bodypowerfitnessclub.com/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Aesthetic fitness,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Strength Studio,Belagavi,Gym,Y,https://strengthstudio.in/,7090029156,PHONE RECOVERED,DONE
Arammbh Fitness Studio,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Lifetime fitness Zone,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Be Strong Unisex Fitness Centre,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Fitness world gym,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Champions Unisex Gym,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
BODY POWER FITNESS CLUB UNISEX GYM,Belagavi,Gym,Y,https://www.bodypowerfitnessclub.com/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
BODYTONE GYM & FITNESS CENTRE,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
RD FITNESS,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Diamond Fitness Point,Belagavi,Gym,Y,https://www.instagram.com/reshapebelgaum/,6829669985,PHONE RECOVERED,DONE
Modern Gym,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
PK FITNESS CENTRE,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Raikars fitness center gym and studio,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"OM'S FITNESS & SPORTS PHYSICAL-REHABILITATION CENTER , Fitness-Fortress",Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
VELVET FIT INDIA ROYAL GYM,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Soul Fitness Unisex Gym,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
FITNESS CLUB GYM,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
GROWUP FITNESS,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Manthan GYM,Belagavi,Gym,Y,https://www.youtube.com/channel/UCmY-pr2RJ13yKnYR3jHnJJA,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Club Evolution Gym,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
R C Fitness Gym,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Fitness think,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Slim Fit Zumba Hit Training by Sneha Patil,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
OM's FITNESS & SPORTS (P)REHAB CENTRE,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Flex Multi Gym,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Body basics fitness club,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Universal Health Centre (Gym),Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
New Fitness and Nutrition Unisex Gym,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Vajra Gym,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Royal Fitness World Gents And Ladies,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
MMA MATRIX GYM,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Health And Fitness,Belagavi,Gym,Y,http://www.bodyfitgarage.com/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Grace fitness center,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Prem`s Hercules Gym,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Flex gym,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
UNIVERSAL HEALTH CENTRE,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Morya Sports Nutrition & Supplement,Belagavi,Gym,Y,https://tmnutrition.in/,7411727098,PHONE RECOVERED,DONE
Body works fitness studio,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Manthan Dance Class,Belagavi,Gym,Y,https://www.youtube.com/channel/UCmY-pr2RJ13yKnYR3jHnJJA,,PHONE MISSING — WEBSITE OUTREACH,PENDING
BALAJI Art & SPORTS,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
HulkinU,Belagavi,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Disha Computer Institute Belgaum,Belagavi,IELTS Coaching,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
VETA,Belagavi,IELTS Coaching,Y,http://www.veta.in/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"Indira IVF Fertility Centre - Best IVF Center in Belgaum, Karnataka",Belagavi,IVF Fertility Clinic,Y,https://www.indiraivf.com/karnataka/best-ivf-center-belgaum/?utm_source=gmb&utm_medium=listings&utm_campaign=indiraivfgmb&utm_id=seo-local,7594644694,PHONE RECOVERED,DONE
NARAYANA IIT-JEE/NEET/FOUNDATION - BELGAUM,Belagavi,JEE Coaching,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"Sri Chaitanya Academy - Best IIT JEE & NEET Coaching in Belagavi, Tilakwadi",Belagavi,JEE Coaching,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"Physics Wallah Vidyapeeth Pathshala Coaching Center Belagavi | IIT JEE, NEET & Foundation Classes",Belagavi,JEE Coaching,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Eminant Coaching Classes Belagavi,Belagavi,JEE Coaching,Y,https://eminentcoachingclasses.org/,9945155100,PHONE RECOVERED,DONE
Belgaum Interior,Belagavi,Modular Kitchen,Y,https://starbricksinteriors.com/,9380863039,PHONE RECOVERED,DONE
Kitchen Impresa: Modular Kitchen in Belgaum,Belagavi,Modular Kitchen,Y,https://kitchenimpresa.in/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Eurospen Kitchens - Modular Kitchen Experts,Belagavi,Modular Kitchen,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Star Aluminium & Modular Kitchen Furniture,Belagavi,Modular Kitchen,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"Sri Chaitanya Academy - Best IIT JEE & NEET Coaching in Belagavi, Tilakwadi",Belagavi,NEET Coaching,Y,https://srichaitanyaacademy.net/centres/sri-chaitanya-belagavi-coaching-centre-khanapur,7307434082,PHONE RECOVERED,DONE
NARAYANA IIT-JEE/NEET/FOUNDATION - BELGAUM,Belagavi,NEET Coaching,Y,https://www.narayanacoachingcenters.in/landingpage.php?branch=hubli,9667225657,PHONE RECOVERED,DONE
"Physics Wallah Vidyapeeth Pathshala Coaching Center Belagavi | IIT JEE, NEET & Foundation Classes",Belagavi,NEET Coaching,Y,https://www.pw.live/,7290070560,PHONE RECOVERED,DONE
Luke's Applying Physiotherapy,Belagavi,Physiotherapy Clinic,Y,https://www.lukesphysio.com/,8095580998,PHONE RECOVERED,DONE
Navjeevan Physiotherapy Clinic,Belagavi,Physiotherapy Clinic,Y,https://navjeevanphysio.com/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Ayushyaman Spine And Joint,Belagavi,Physiotherapy Clinic,Y,https://www.ayushyamanhealthcare.com/,9881289988,PHONE RECOVERED,DONE
Sachi Physiotherapy & Rehabilitation Clinic,Belagavi,Physiotherapy Clinic,Y,https://www.sachiphysio.com/,9999999776,PHONE RECOVERED,DONE
Belagavi Real Estate Consultancy,Belagavi,Real Estate Agent,Y,http://fb.me/Belagavirealestate,8771505714,PHONE RECOVERED,DONE
Real Estste Belgaum,Belagavi,Real Estate Agent,Y,http://fb.me/Belagavirealestate,8321475982,PHONE RECOVERED,DONE
99acres Sales Office BELGAUM,Belagavi,Real Estate Agent,Y,http://99acres.com/,7821202000,PHONE RECOVERED,DONE
ORIONIS Polaris,Belagavi,Real Estate Agent,Y,http://orionis.in/,9739976888,PHONE RECOVERED,DONE
Mega Enterprises,Belagavi,Real Estate Agent,Y,http://www.megaenterprises.page.tl/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
ARD,Belagavi,Real Estate Agent,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Sparsh Skin Hair & Laser Clinic,Belagavi,Skin Clinic,Y,https://www.sparshskinbelgaum.com/,8861892422,PHONE RECOVERED,DONE
Naya Skin Clinic,Belagavi,Skin Clinic,Y,https://nayaskin.in/,9071224069,PHONE RECOVERED,DONE
Dr NETRA'S laser Skin Clinic | Best Dermatologist in Belgaum,Belagavi,Skin Clinic,Y,http://www.drnetraslaserskinclinic.com/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Sigma6 Hair & Skin Clinic Nehru Nagar Belgaum,Belagavi,Skin Clinic,Y,https://www.justdial.com/online-consult/hospital?action=BA&extRdt=1&wkwebview=1&docid=9999PX831.X831.211013192213.M4B8&rwg_token=AFd1xnHKjQDpEHLGIfeWt0TINt75sD3wCuZGr8pcSDOASoEr-3_lHZGAghMKqTGj7pC2lYUbCLaeb22PrY2lOcTk7xzpaoQnqA%3D%3D,8589934592,PHONE RECOVERED,DONE
Skin clinic,Belagavi,Skin Clinic,Y,https://www.justdial.com/online-consult/hospital?action=BA&extRdt=1&wkwebview=1&docid=9999PX831.X831.231107183345.G6Q9&rwg_token=AFd1xnER7qRJCMa-fp3hqBCDWfYpi9fEw0amZAGoG4WnsQuk_3fO8R9STuygPtsKeNgy6BH35Fo2Go8HTG0E8MBTXsH-Qy1DZg%3D%3D,7176385020,PHONE RECOVERED,DONE
V Derma Skin Clinic,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"VCare Hair & Skin Clinic - Belagavi | Skin Treatment, Hair Treatment, Hair Transplant, Laser Hair Removal, Skin Whitening",Belagavi,Skin Clinic,Y,https://hair-skin-clinic.vcaretrichology.com/vcare-trichology/clinic-in-belagavi/clinic-in-Shahapur/vcare-hair-and-skin-clinic-in-Shahapur-belagavi--N8al8s/home,7395823232,PHONE RECOVERED,DONE
Dr. Kutreâ€™s Skin Care Centre,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Belgaum's Top Rated Skin Care And Hair Loss Specialist In Belgaum | Multispeciality | Dermatologist /Cosmetologist/,Belagavi,Skin Clinic,Y,https://www.justdial.com/online-consult/hospital?action=BA&extRdt=1&wkwebview=1&docid=9999PX831.X831.231107183345.G6Q9&rwg_token=AFd1xnHsgOVcpIKfJF-tt474_96JlfSWt76dbLXYB7VXpOXgVK7xZcE9f_1db-ailY6pIKuS_sfSgsI0NFQ8B_ssfMmGnjHgjg%3D%3D,7176385020,PHONE RECOVERED,DONE
Essentials clinic,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Ankur Skin Clinic,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"Live Young Skin, Hair & Obesity Clinic",Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Radiant Aura Skin Clinic,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
ThinQ SkiN Clinic,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
